S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
118,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Nzambani-Ivingoni,St. Mary's Komboyoo,-2.600987,37.991576,Girls,147014043127,18325109,3EGW,Catholic,10Ha,Secondary,County,Public,Registered,,Boarding,Regular,0,184,184,3,5,0,0,2,1,8,3,11,"Inspection, Provision of personnel & Catholic church",9,4,0,2,0,0,0,15,0,N/A,2.977,0722 611288
119,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Ivingoni - Nzambani,Komboyoo,-2.59787,37.991493,Mixed,147014043336,18325130,3875,CEB,4.047Ha,Secondary,Sub County,Public,Registered,,Day,Regular,148,162,310,4,3,0,0,4,2,7,6,13,SCQASO,6,6,0,0,0,6,0,6,0,N/A,2.77,0723  295073
120,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Kyaani,-2.558021,37.9784,Mixed,147014043358,18325314,32QS,CEB,15Ha,Secondary,Sub County,Public,Registered,,Day,Regular,225,220,445,6,1,0,0,7,4,7,11,18,MOE & TSC,9,9,0,1,0,16,0,18,0,N/A,3.015,0710 538572
121,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu South,Kyanginywa,-2.355322,38.118165,Mixed,147014043158,18325206,4GQH,CEB,8Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,226,217,443,6,6,0,0,3,1,12,4,16,TSC/MOE & County government,10,8,0,1,0,10,0,12,0,N/A,4.724,0722 216663
122,MAKUENI,KIBWEZI,Masongaleni,Kibwezi East,Masongaleni,St. Martins Kyumani,-2.421251,38.097754,Mixed,147014043237,18325308,525C,CEB,8Ha,Secondary,Sub County,Public,Registered,,Day,Regular,91,79,170,3,1,0,0,4,1,4,5,9,SCD - TSC,4,4,0,1,0,4,0,4,0,N/A,2.628,0721 278143
123,MAKUENI,KIBWEZI,Masongaleni,Kibwezi East,Masongaleni,Kyanguli,-2.455303,38.111983,Mixed,147014043253,18325310,5BU4,CEB,2.428Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,83,102,185,4,3,0,0,1,1,7,2,9,"TSC, MOE ",6,6,0,1,0,9,0,5,0,N/A,3.2,0712 833079
124,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Kyusyani,-2.423911,38.168622,mixed,147014043318,18325131,U7YG,CEB,18Ha,Secondary,Sub County,Public,Registered,,Day,Regular,73,75,148,2,4,0,0,2,1,6,3,9,"MOE officials, TSC officials & Quality Assurance",4,4,0,1,0,4,0,6,0,N/A,3.1,0710 624698
125,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Maikuu,-2.485788,37.977824,Mixed,147014043082,18325302,N/A,CEB,8.089Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,180,140,320,10,1,0,0,3,3,11,6,17,MOE & TSC,9,8,0,1,0,8,0,10,0,N/A,2.947,0722 669206
126,MAKUENI,KIBWEZI,Masongaleni,Kibwezi East,Masongaleni,Makutano,-2.120702,37.793574,Mixed,147014043287,18325313,7H65,CEB,10.78Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,176,244,420,8,2,0,0,1,3,10,4,14,MOEST & TSC,11,10,0,2,0,10,0,12,0,N/A,3.23,0729 593977
127,MAKUENI,KIBWEZI,Masongaleni,Kibwezi East,Masongaleni,Masaku Ndogo,-2.373226,38.142383,Mixed,147014043133,18325304,NH65,CEB,N/A,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,110,118,228,6,3,0,0,1,1,9,2,11,N/A,8,4,0,1,0,4,0,6,0,N/A,4.028,0721 382050
128,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu South,Masalani,-2.323281,38.114432,Mixed,147014043284,18325213,PES8,CEB,3.92Ha,Secondary,Sub County,Public,Registered,,Day,Regular,69,51,120,3,2,0,0,2,1,5,3,8,TSC & MOE,4,4,0,1,0,6,0,8,0,N/A,2.278,0717 747293
129,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Masongaleni,-2.479869,38.05208,Mixed,147014043322,18325316,CS2J,CEB,10Ha,Secondary,Sub County,Public,Registered,,Day,Regular,220,239,459,6,2,0,0,2,4,8,6,14,"TSC, MOE & DQASO",6,7,0,3,0,8,0,10,0,N/A,3.15,0721 233529
130,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Matulani,0,0,Mixed,147014043290,18325125,KP3Y,CEB,6.29Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,130,196,326,7,5,0,0,1,2,12,3,15,"SCDE, QASO, TSC,CEMASTEA,County Government & CDE",10,7,0,1,0,4,0,4,0,N/A,3.764,0712 310647
131,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Mavindini,0,0,Mixed,147014043297,18325121,ZB2G,CEB,N/A,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,104,156,260,4,3,0,0,2,2,7,4,11,"TSC, KNEC & County Government",6,6,0,1,0,8,0,10,0,N/A,3.185,0725 419938
132,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Mbeetwani,-2.615653,38.194406,Mixed,147014043317,18325132,JHA2,CEB,12Ha,Secondary,Sub County,Public,Registered,,Day,Regular,62,59,121,4,0,0,0,2,1,4,3,7,Ministry of Education & CEMASTEA,3,4,0,0,0,2,0,3,0,N/A,2.5,0720 690302
133,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Miangeni,0,0,Mixed,147014043316,18325127,N/A,CEB,N/A,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,45,87,132,6,3,0,0,1,1,9,2,11,"SCQASO, TSC Sub county, Directors & CSO",4,4,0,1,0,5,0,16,0,N/A,2.725,0717 578623
134,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu South,Mikuyuni,-2.38937,37.960254,Mixed,147014043150,18325208,N/A,CEB,N/A,Secondary,Sub County,Public,Registered,,Day,Regular,464,456,920,12,8,0,0,0,0,20,0,20,"SDE (Ministry), SDE(TSC) & DQASO",9,22,0,1,0,26,0,15,0,N/A,3.362,0721 287290
135,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Mtito Andei,Misuuni,-2.547261,38.203181,Mixed,147014043170,18325110,3WGK,CEB,9.5Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,293,262,555,10,4,0,0,0,2,14,2,16,"Sub county QASO, SCDE, SMASSE, CDE & Sub county TSC",11,11,0,2,0,12,0,16,0,N/A,3.73,0728 129891
136,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Mtito Andei,Molemuni,-2.589821,38.076628,Girls,3225,18325119,WG2W,CEB,3.24Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,0,349,349,3,5,0,0,4,4,8,8,16,SCDE & Deputy SCDE,8,8,0,1,0,0,0,23,0,N/A,3.648,0718 202152
137,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Ivingoni - Nzambani,Muthingiini Boys,-2.59981,38.042762,Boys,147014043036,18325102,QJ7D,CEB,9.53Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,589,0,589,11,4,0,0,2,1,15,3,18,"DQASO/SCQASO, KESSHA/County/Sub county",15,13,0,3,0,20,0,0,0,N/A,5.488,0721 430628
138,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Nzambani ,Muthingiini Girls,-2.598585,38.044925,Girls,N/A,18325135,EY3Y,N/A,3.9Ha,Secondary,Sub County,Public,N/A,,Day & Boarding,Regular,0,284,284,3,1,0,0,4,4,4,8,12,"CSO, QASO, TSC/KESSHA, TSC/MOE",7,6,0,N/A,N/A,0,0,10,0,N/A,NEW,0724 212225
139,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Mwitasyano,-2.735551,38.039023,Mixed,147014043309,18325129,CCK6,CEB,2.023Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,172,206,378,3,2,0,0,3,1,5,4,9,MOE/TSC,6,7,0,1,0,10,0,9,0,N/A,3.526,0721 364893
140,MAKUENI,KIBWEZI,Masongaleni,Kibwezi East,Masongaleni,Ndauni ,-2.460556,38.057392,Mixed,147014043187,18325306,62GV,CEB,8.1Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,53,70,123,4,3,0,0,0,2,7,2,9,"MOEST, CQASO, Ministry of Health,Auditors, TSC & HRM",7,6,0,1,0,4,0,6,0,N/A,3.174,0710 963257
141,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu North,Ngaikini,-2.213775,37.968167,Mixed,147014043183,18325216,GQL6,CEB,6Ha,Secondary,Sub County,Public,Registered,,Day,Regular,83,103,186,2,3,0,0,3,1,5,4,9,Sub county office & CSO,4,5,0,1,0,4,0,6,0,N/A,2.647,0723 913805
142,MAKUENI,KIBWEZI,Kibwezi,Kibwezi East,Thange,Ngokolani,-2.458666,38.031424,Mixed,N/A,N/A,EF7S,N/A,6,Secondary,Sub County,Public,N/A,,Day,Regular,35,45,80,1,0,0,0,2,1,1,3,4,"SCDE-MOE, SCDE - TSC",1,3,0,0,0,3,0,3,0,N/A,NEW,0721 459104
143,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Masongaleni,Ngwata,-2.527425,38.055005,Mixed,147014043183,18325112,956D,CEB,11Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,177,151,328,9,3,0,0,3,0,12,3,15,MOE & TSC,11,8,7,3,0,12,0,12,0,N/A,2.708,0722 292 547
144,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu South,Nthongoni,0,0,Mixed,4043375,18325217,EA47,CEB,4.9Ha,Secondary,Sub County,Public,Registered,,Day,Regular,174,176,350,4,2,0,0,2,4,6,6,12,M.O.E,4,9,0,0,0,4,0,4,0,N/A,2.043,0726 304984
145,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu ,Nyayo,-2.278712,38.035345,Mixed,147014043302,18325215,H5H5,CEB,N/A,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,96,88,184,3,1,0,0,4,1,4,5,9,MOE & TSC,4,1,3,3,0,6,0,6,0,N/A,2.61,0711 462414
146,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Nzoila,-2.578895,38.152468,Mixed,147014043221,18325120,WFGM,CEB,5.26Ha,Secondary,Sub County,Public,Registered,,Day,Regular,67,73,140,4,0,0,0,4,0,4,4,8,N/A,4,4,0,1,0,6,0,6,0,N/A,2.448,0724 875856
147,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Prof Kaloki Muthungue,-2.497573,37.998903,Mixed,147014043278,18325312,8H3K,CEB,4Ha,Secondary,Sub County,Public,Registered,,Day,Regular,216,202,418,6,4,0,0,5,1,10,6,16,"Sub county TSC, SCD, SCDE, Public works & County Auditor",6,8,0,3,0,8,0,8,0,N/A,3.042,0721 320681
148,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Mtito Andei,Silanga ,-2.606003,38.09573,Mixed,147014043285,18325124,B5S2,CEB,8Ha,Secondary,Sub County,Public,Registered,,Day,Regular,168,155,323,4,4,0,0,10,7,8,17,25,"QASO, MOE,TSC & KSSHA",N/A,7,0,1,0,8,0,6,0,N/A,2.102,0711 587688
149,MAKUENI,KIBWEZI,Kibwezi,Kibwezi West,kikumbulyu,St. Simon Mbui Nzau,-2.374895,37.90006,Mixed,147014043360,18325210,YXKC,Catholic,1.64Ha,Secondary,Sub County,Public,Registered,,Day,Regular,76,126,202,3,3,0,0,2,1,6,3,9,SCQASO & SCDE,7,4,0,1,0,4,0,11,0,N/A,2.245,0722 666700
150,MAKUENI,KIBWEZI,Kibwezi,Kibwezi East,Thange,St. Joseph Girls Kibwezi,-2.411351,37.970093,Girls,147014043065,18325209,CXPV,Catholic,6.07Ha,Secondary,Extra County,Public,Registered,,Boarding,Regular,0,897,897,15,14,0,0,6,6,29,11,40,"CSO,MOE,TSC, KNEC, CEMASTEA, KESSHA & SEQUIP",22,17,0,4,0,0,0,25,0,N/A,7.374,0728 489432
151,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Mtito Andei,St.Lucy Kalimani,-2.549346,38.0956,Mixed,147014043219,18325111,TRVQ,Catholic,10Ha,Secondary,Sub County,Public,Registered,,Day,Regular,46,58,104,4,1,0,0,3,0,5,3,8,TSC/MOE & County government,1,6,0,0,0,6,0,8,0,N/A,2.556,0724 812068
152,MAKUENI,KIBWEZI,Kibwezi,Kibwezi East,Nthange,St. Mary's Girls-Kinyambu,-2.472842,37.999747,Girls,147014043118,18325203,CNEX,Catholic,9Ha,Secondary,County,Public,Registered,,Boarding,Regular,0,770,770,7,11,0,0,5,2,18,7,25,QASO,14,13,0,1,0,0,0,46,0,N/A,5.107,0719 601322
153,MAKUENI,KIBWEZI,Kibwezi,Kibwezi East,Thange,St. Peters' Nthange,-2.495111,38.024219,Boys,147014043104,18325201,VWYN,Catholic,4.5Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,203,0,203,8,3,0,0,2,1,11,3,14,County Quality Assurance Standards officer & TSC,7,8,0,1,0,9,0,0,0,N/A,3.304,0725 230469
154,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Sumbi ,-2.535085,37.956515,Mixed,147014043135,18325303,YLUB,CEB,5.43Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,197,225,422,10,5,0,0,1,0,15,1,16,"QAS officers, School Auditors, TSC & MOE",11,8,0,1,0,10,0,8,0,N/A,3.207,0721 534246
155,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Tsavo West,0,0,Mixed,147014043305,18325126,GBKR,CEB,3.5Ha,Secondary,Sub County,Public,Registered,,Day,Regular,58,48,106,4,0,0,0,2,3,4,5,9,"MOE/TSC, QA officer, TSC sub county & MOE Sub county",3,4,0,1,0,3,0,2,0,N/A,2.36,0721 491 667
156,MAKUENI,KIBWEZI,Masongaleni,Kibwezi East,Masongaleni,Ulilinzi,-2.41608,38.15014,Mixed,147014043161,18325305,XTNW,CEB,3Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,158,210,368,5,5,0,0,4,1,10,5,15,N/A,8,9,0,2,0,3,0,12,0,N/A,3.653,0721 550699
157,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Usalama,-2.454287,37.967118,Mixed,147014043291,18325317,C6CW,CEB,3.Ha,Secondary,Sub County,Public,Registered,,Day,Regular,147,171,318,4,5,0,0,3,3,9,6,15,"County Auditor, SCDE/DQASO/Public Health officer & CDE",6,7,0,1,0,3,0,4,0,N/A,3.163,0710 164945
158,MAKUENI,KIBWEZI,Ulilinzi,Kibwezi East,Masongaleni,Utini,-2.120121,37.584936,Mixed,147014043270,18325312,7A9P,CEB,12.6Ha,Secondary,Sub County,Public,Registered,,Day,Regular,67,63,130,4,0,0,0,4,1,4,5,9,MOE officers & TSC,2,4,0,0,0,2,0,3,0,N/A,2.773,0714 101128
159,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Utithi,-2.524236,38.019933,Mixed,147014043080,18325301,RUZY,CEB,6.07Ha,Secondary,County,Public,Registered,,Boarding,Regular,243,127,370,11,7,0,0,0,2,18,2,20,MOE & TSC,16,10,0,3,0,18,0,8,0,N/A,5.776,0725 578063
160,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Masongaleni,Yikitaa,-2.472217,38.220628,Mixed,147014043190,18325113,HTZX,CEB,12.85Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,136,193,329,4,3,0,0,3,3,7,6,13,Ministry of Education & TSC,5,4,0,1,0,9,0,12,0,N/A,3.854,0721 410805
161,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Masongaleni,Yumbuni,-2.502346,38.10332,Mixed,147014043181,18325108,T8R7,CEB,6.6368Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,223,189,412,8,4,0,0,4,2,12,6,18,SCQASO,9,9,0,1,0,11,0,6,0,N/A,3.905,0724 050528
167,MAKUENI,MUKAA,Kasikeu,Kilome,kasikeu/Kiou,AIC Sultan Hamud, -2.017817,37.379271,Mixed,147014043364,18347419,C2HN,AIC,2.025,Secondary,Public,Public,Registered,,Day,Regular,114,102,216,3,6,0,0,1,1,9,2,11,"SCQAS, TSCSCD, SCDEO",3,4,0,2,0,12,0,8,0,N/A,3.818,0710397725
168,MAKUENI,MUKAA,Malili,MUKAA/MBOONI EAST H/SCHOOLS,Kiimakiu,St. Martin Depores Malili,0,0,Mixed,147014043203,18347519,KYQT,Catholic,4.049 Acres,Secondary,Public,Public,Registered,,Day,Regular,42,37,79,5,4,0,0,0,0,9,0,9,"DQASO, DQASO, MOE, Min. of Works, Min. of Environment",2,4,0,1,0,1,0,2,0,N/A,3.067,0727508471
169,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Musaani,-1.928708,37.364575,Mixed,147014043147,18347404,8FD8,AIC,2 Acres,Secondary,Public,Public,Registered,,Day,Regular,108,141,249,2,4,0,0,2,2,6,4,10,"TSC, MOE",5,4,0,2,0,1,0,1,0,N/A,4.15,0712595004
170,MAKUENI,MUKAA,Mukaa,Kilome,Kilome/Kitaingo,Kilome,-1.805512,37.340692,Mixed,147014043019,18347502,C7NG,Salvation Army,3 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,208,36,244,13,4,0,0,1,1,17,2,19,"Motivational Speakers, Examiners",15,9,0,3,0,12,0,16,0,N/A,3.85,0726515756
171,MAKUENI,MUKAA,Mukaa,Kilome,kalanzoni/Kiimakiu,Kiongwani,-1.901551,37.286108,Boys,147014043043,18347513,NL9M,Catholic,2.17,Secondary,Public,Public,Registered,,Boarding,Regular,625,0,625,20,8,0,0,4,1,28,5,33,"SQUASO,TSCSCD",23,16,0,3,0,36,0,0,0,N/A,4.681,0721489653
172,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,Kitheini,-1.889943,37.433734,Mixed,147014043067,18347411,S6D4,AIC,2.02 Acres,Secondary,Public,Public,Registered,,Day,Regular,53,95,148,3,4,0,0,2,0,7,2,9,DQASO,6,4,0,1,0,10,0,8,0,N/A,3.335,0727884798
173,MAKUENI,MUKAA,Kiimakiu,Kilome,kalanzoni/Kiimakiu,Mulumini,-1.784655,37.26195,Mixed,147014043070,18347516,2LJL,Catholic,2.02343,Secondary,Public,Public,Registered,,Day&boarding,Regular,130,120,250,7,6,0,0,1,1,13,2,15,"MOE, TSC, MOE/TSC, QASOS, MOE/TSC",9,8,0,1,0,5,0,4,0,N/A,3.54,0722232287
174,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa/Kitaingo,Uthini,-1.85407,37.356797,Girls,147014043262,18347509,RHTQ,AIC,1.88 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,0,191,191,3,3,0,0,2,1,6,3,9,"Ministry,QASO, SCDE, SCDE-TSC",3,4,0,1,0,0,0,8,0,N/A,6.663,0718557426
175,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Kwothithu,0,0,Mixed,147014043204,18347404,KGXB,AIC,6.14Ha,Secondary,Public,Public,Registered,,Day&boarding,Regular,103,102,204,3,6,0,0,1,0,9,1,10,"SQUASO,TSCSCD",3,4,0,1,0,8,0,8,0,N/A,3.26,0717754218
176,MAKUENI,MUKAA,Kiimakiu,Kilome,kalanzoni/Kiimakiu,Uvunye,-1.927743,37.187461,Mixed,147014043193,18347518,8765,Catholic,0.853 Ha,Secondary,Public,Public,Registered,,Day,Regular,83,77,160,4,0,0,0,1,1,4,2,6,"SCQASO, SCD-TSC, CEMASTEA, County Govt",5,4,0,1,0,2,0,2,0,N/A,2.667,0720572513
177,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa/Kitaingo,Bishop Ngala,-1.821279,37.31563,Mixed,147014043103,18347503,JLKQ,ABC,4 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,139,112,251,7,4,0,0,0,0,11,0,11,"MOE, MOE/TSC",7,5,0,3,0,5,0,7,0,N/A,3.63,0722636782
178,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Lumu,-1.953394,37.344567,Mixed,147014043166,18347405,3S5S,CEB,0.4Ha,Secondary,Public,Public,Registered,,Day,Regular,94,96,190,7,2,0,0,0,1,9,1,10,"MOE, TSC",4,4,0,1,0,5,0,5,0,N/A,5.001,0721565750
179,MAKUENI,MUKAA,Kitaingo,Kilome,Mukaa,Kwakiketi,-1.833407,37.35244,Mixed,147014043182,18347510,FT3W,AIC,5 Acres,Secondary,Public,Public,Registered,,Day,Regular,108,125,233,4,5,0,0,0,1,9,1,10,"TSC, TSC, MOE",5,5,0,2,0,4,0,4,0,N/A,2.484,0721237461
180,MAKUENI,MUKAA,Mukaa,Kilome,kalanzoni/Kiimakiu,A.B.C Maiani,-1.854566,37.280674,Boys,147014043056,18347506,LMDC,ABC,2.5 Acres,secondary,Public,Public,Registered,,Boarding,Regular,407,0,407,11,2,0,0,1,0,13,1,14,SQASO,16,10,0,1,0,27,0,0,0,N/A,3.539,0726958021
181,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,Muangini,-1.88943,37.410629,Mixed,147014043189,18347415,XL96,,1.35 Ha,Secondary,Public,Public,,,Day,Regular,119,102,221,5,3,0,0,0,2,8,2,10,"QASO, CSO",4,6,0,1,0,6,0,13,0,N/A,3.533,0721333375
182,MAKUENI,MUKAA,Mukaa,Kilome,mukaa,ABC. Kitonguni,-1.845841,37.340075,Mixed,147014043185,18347507,8394,ABC,0.61 Ha,Secondary,Public,Public,Registered,,Day&boarding,Regular,195,202,397,5,8,0,0,0,2,13,2,15,"MOE, TSC, MOE/TSC, QASOS, MOE/TSC",8,8,0,1,0,8,0,10,0,N/A,NEW,0720008315
183,MAKUENI,MUKAA,Kiimakiu,Kilome,Kiimakiu,ACK. St. Stephen's Kima,-1.895218,37.270887,Mixed,147014043216,18347517,B62J,ACK,2.5 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,187,179,366,5,5,0,0,3,3,10,6,16,"SCDQA, MOE",10,8,0,2,0,12,0,8,0,N/A,4.345,0729246852
184,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Kasikeu Girls',-1.940578,37.377749,Girls,147014043147,18347402,CV7S,AIC,1.61 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,0,300,300,3,5,0,0,5,1,8,6,14,"SCDE/TSC, Speakers",10,8,0,2,0,0,0,24,0,N/A,5.6977,0726407424
185,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa/Kitaingo,Mukaa Girl's,-1.843121,37.31527,Girls,147014043154,18347504,N8WZ,ABC,1.96Acres,Secondary,Public,Public,Registered,,Boarding,Regular,0,507,507,8,9,0,0,3,3,17,6,23,"MOE/TSC, ICNEC, MOE/TSC, MOE/TSC",16,11,0,3,0,0,0,20,0,N/A,NEW,0722920871
192,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa/Kitaingo,Kamuthini,-1.877232,37.302892,Mixed,147014043149,18347511,HQ9C,,2.2 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,168,219,387,4,3,0,0,2,2,7,4,11,"SCDE, SCQASSO",11,6,0,1,0,4,0,10,0,N/A,3.753,0723823903
193,MAKUENI,MUKAA,Kiimakiu,Kilome,Kiimakiu,ABC Ngaamba,-1.898033,37.218209,Mixed,147014043312,18347523,AYTZ,ABC,10 Acres,Secondary,Public,Public,Registered,,Day,Regular,63,68,131,5,2,0,0,1,1,7,2,9,SQASO,5,4,0,0,0,4,0,8,0,N/A,2.484,0725455001
194,MAKUENI,MUKAA,Kiimakiu,Kilome,Kalanzoni,ACK. St Lukes Marwa ,-1.940698,37.252649,Mixed,147014043281,18347520,4446,ACK,5 Acres,Secondary,Public,Public,Registered,,Day,Regular,84,68,152,4,5,0,0,2,0,9,2,11,Education Official,6,6,0,0,0,1,0,1,0,N/A,3.455,0711718924
195,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Kasikeu,-1.946309,37.380799,Boys,147014043047,18347401,WAXY,AIC,10.13 Acres,secondary,Public,Public,,,Boarding,Regular,679,0,679,19,10,0,0,3,0,29,3,32,"QASO-Sub-county, TSC-Subcounty, SCDE",26,15,0,3,0,27,0,0,0,N/A,5.733,0724146713
196,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Muani,-1.974695,37.395887,Mixed,147014043162,18347406,4SVV,Catholic,4.5 Acres,Secondary,public,public,Registered,,Day&boarding,Regular,58,109,167,6,3,0,0,0,2,9,2,11,"SQASO, Health Officers",7,4,0,1,0,4,0,5,0,N/A,2.517,0714277681
197,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Kandolo,-1.970241,37.364633,Mixed,147014043350,18347217,22W2,CEB,2.02 Acres,Secondary,Public,Public,Registered,,Day,Regular,51,50,101,4,3,0,0,2,1,7,3,10,"Professional Counsellors, BOM members",3,4,0,1,0,9,0,8,0,N/A,2.4,710696593
198,MAKUENI,MUKAA,Kiimakiu,Kilome,kalanzoni/Kiimakiu,Kiimakiu,-1.825409,37.256747,Mixed,147014043059,18347515,PL5F,AIC,3.5 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,101,67,168,4,8,0,0,0,0,12,0,12,"TSC, MOE",8,3,6,1,0,10,0,13,0,N/A,3.1,721785511
199,MAKUENI,MUKAA,Kiimakiu,Kilome,Kiimakiu,Kiongwani ,-1.901562,37.286186,Girls,147014043298,18347512,8AGA,Catholic,5.7 Acres,Secondary,Public,Public,Registered,,Boarding,Regular,0,550,550,5,7,0,0,4,1,12,5,17,"Quantity Assuarance, Professional Speakers, School auditors, MOE",14,9,0,2,0,0,0,30,0,N/A,5.2419,717789611
200,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,ABC Muua,-1.914176,37.336241,Mixed,147014043002,18347421,KCYP,ABC,1.215 Ha,Secondary,Public,Public,Registered,,Day&boarding,Regular,67,109,176,5,1,0,0,1,2,6,3,9,"Nurses, Approved Counsellors, DQASO, Eaxperienced Teachers, TSC Officers",4,4,0,0,0,8,0,8,0,N/A,4.556,722644160
